epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,36622,0.92036,3.08431,0.31326,0.7973,1.21319,0.87369,0.80494,0.90899,0.70291,0.83721,0.74355,0.80184,0.49401,0.81946,2.42283,0.30604,0.64291,1.11625,0.001486,0.001486,0.001486
88,37042.8,0.91798,3.05417,0.31231,0.79647,1.21204,0.87209,0.80608,0.90991,0.70363,0.84485,0.73981,0.80353,0.49485,0.81861,2.4162,0.30544,0.64106,1.11514,0.001387,0.001387,0.001387
89,37459.5,0.917,3.02447,0.31124,0.78459,1.20989,0.8732,0.80542,0.90959,0.70406,0.84485,0.74154,0.80377,0.49596,0.81752,2.40943,0.30477,0.63957,1.11388,0.001288,0.001288,0.001288
90,37880.8,0.9119,3.03221,0.31048,0.77785,1.2082,0.86975,0.80948,0.91027,0.70476,0.84945,0.73992,0.80571,0.49704,0.81685,2.40209,0.30403,0.63759,1.11277,0.001189,0.001189,0.001189
91,38281.4,0.84005,2.53072,0.30402,0.66525,1.15263,0.86872,0.81047,0.9108,0.70514,0.84898,0.74071,0.80638,0.4984,0.81575,2.39617,0.30339,0.63582,1.11161,0.00109,0.00109,0.00109
92,38685.5,0.83379,2.49095,0.30102,0.65709,1.14718,0.87032,0.81141,0.91148,0.70628,0.84803,0.7426,0.80698,0.4996,0.81416,2.3885,0.3025,0.63339,1.11005,0.000991,0.000991,0.000991
93,39087.5,0.82105,2.46202,0.29654,0.64473,1.13956,0.85944,0.82209,0.91199,0.70734,0.8472,0.74281,0.80723,0.50065,0.81286,2.38153,0.30171,0.63167,1.10849,0.000892,0.000892,0.000892
94,39490.9,0.82065,2.43026,0.29658,0.63782,1.13439,0.85722,0.82423,0.91242,0.70815,0.84798,0.74496,0.80772,0.50113,0.8113,2.37449,0.30092,0.62943,1.10684,0.000793,0.000793,0.000793
95,39896.3,0.81136,2.40744,0.29615,0.62943,1.12956,0.85702,0.82568,0.91284,0.70886,0.84944,0.74543,0.80859,0.5017,0.81008,2.36564,0.30013,0.62718,1.10541,0.000694,0.000694,0.000694
96,40301.5,0.80321,2.35948,0.29232,0.61706,1.12664,0.85709,0.82709,0.91315,0.70949,0.84758,0.745,0.80855,0.50293,0.80881,2.35763,0.2994,0.62501,1.10403,0.000595,0.000595,0.000595
97,40701.5,0.80085,2.35967,0.29477,0.61283,1.12173,0.85721,0.82978,0.91348,0.71011,0.84179,0.74968,0.80932,0.50408,0.80784,2.35208,0.2986,0.62315,1.10278,0.000496,0.000496,0.000496
98,41101.5,0.8021,2.34747,0.29237,0.61727,1.12631,0.85852,0.8306,0.91355,0.71097,0.84212,0.75074,0.81034,0.50501,0.80694,2.34787,0.2979,0.62117,1.1017,0.000397,0.000397,0.000397
99,41504.7,0.7995,2.32111,0.29159,0.61387,1.1204,0.85821,0.82887,0.91371,0.71112,0.8421,0.75205,0.81137,0.50599,0.80629,2.34367,0.29719,0.61936,1.10073,0.000298,0.000298,0.000298
100,41905.8,0.79024,2.28313,0.29222,0.6038,1.11772,0.85997,0.82966,0.91411,0.7121,0.84078,0.7511,0.81213,0.50723,0.80561,2.33894,0.29656,0.61775,1.09979,0.000199,0.000199,0.000199
